=== LPC Import Credits ===
Generated: 2026-03-01 22:29:23
Total items: 1101

All assets imported under their respective safe licenses (CC0, OGA-BY, CC-BY).
Assets requiring GPL or CC-BY-SA were excluded from import.

[Afro] (female) Authors: bluecarrot16 | License: CC0 | https://opengameart.org/content/lpc-hair
[Afro] (male) Authors: bluecarrot16 | License: CC0 | https://opengameart.org/content/lpc-hair
[Alien] (female) Authors: bluecarrot16, Benjamin K. Smith (BenCreating), Nila122 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/drakes-and-lizardfolk ; https://opengameart.org/content/lpc-character-bases
[Alien] (male) Authors: bluecarrot16, Benjamin K. Smith (BenCreating), Nila122 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/drakes-and-lizardfolk ; https://opengameart.org/content/lpc-character-bases
[Ammo] (female) Authors: Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites
[Ammo] (male) Authors: Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites
[Angry Elderly Eyes] (female) Authors: JaidynReiman, ElizaWy, Stephen Challener (Redshrike) | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Head ; https://opengameart.org/content/ulpc-expanded-expressions
[Angry Elderly Eyes] (male) Authors: JaidynReiman, ElizaWy, Stephen Challener (Redshrike) | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Head ; https://opengameart.org/content/ulpc-expanded-expressions
[Angry] (female) Authors: JaidynReiman, ElizaWy, Stephen Challener (Redshrike) | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Head ; https://opengameart.org/content/ulpc-expanded-expressions
[Angry] (male) Authors: JaidynReiman, ElizaWy, Stephen Challener (Redshrike) | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Head ; https://opengameart.org/content/ulpc-expanded-expressions
[Ankle Socks] (female) Authors: ElizaWy, JaidynReiman | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more ; https://opengameart.org/content/lpc-expanded-socks-shoes
[Ankle Socks] (female) Authors: JaidynReiman, ElizaWy, Bluecarrot16, Stephen Challener (Redshrike), Johannes Sjölund (wulax) | License: OGA-BY 3.0, GPL 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing ; https://opengameart.org/content/lpc-expanded-socks-shoes
[Ankle Socks] (male) Authors: ElizaWy, JaidynReiman | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more ; https://opengameart.org/content/lpc-expanded-socks-shoes
[Ankle Socks] (male) Authors: JaidynReiman, ElizaWy, Bluecarrot16, Stephen Challener (Redshrike), Johannes Sjölund (wulax) | License: OGA-BY 3.0, GPL 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing ; https://opengameart.org/content/lpc-expanded-socks-shoes
[Apron full] (female) Authors: ElizaWy, bluecarrot16 | License: OGA-BY 3.0, GPL 3.0 | http://opengameart.org/content/lpc-clothing-updates
[Apron half] (female) Authors: ElizaWy, bluecarrot16 | License: OGA-BY 3.0, GPL 3.0 | http://opengameart.org/content/lpc-clothing-updates
[Apron] (female) Authors: Nila122 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-aprons
[Apron] (male) Authors: Nila122 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-aprons
[Armet] (female) Authors: bluecarrot16, Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Armet] (male) Authors: bluecarrot16, Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Arming Sword] (female) Authors: ElizaWy; walk and down by JaidynReiman | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Sword%2001%20-%20Arming%20Sword ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Arming Sword] (male) Authors: ElizaWy; walk and down by JaidynReiman | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Sword%2001%20-%20Arming%20Sword ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Armour] (female) Authors: bluecarrot16, JaidynReiman, Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites
[Armour] (female) Authors: Matthew Krohn (makrohn), Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites
[Armour] (female) Authors: Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; http://opengameart.org/content/lpc-clothing-updates
[Armour] (female) Authors: Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-combat-armor-for-women ; http://opengameart.org/content/lpc-clothing-updates
[Armour] (male) Authors: bluecarrot16, JaidynReiman, Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites
[Armour] (male) Authors: Matthew Krohn (makrohn), Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites
[Armour] (male) Authors: Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; http://opengameart.org/content/lpc-clothing-updates
[Armour] (male) Authors: Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-combat-armor-for-women ; http://opengameart.org/content/lpc-clothing-updates
[Backwards Horns] (female) Authors: Nila122 | License: OGA-BY 3.0, GPL 3.0, CC-BY-SA 3.0 | https://opengameart.org/content/lpc-lizard-headgear
[Backwards Horns] (male) Authors: Nila122 | License: OGA-BY 3.0, GPL 3.0, CC-BY-SA 3.0 | https://opengameart.org/content/lpc-lizard-headgear
[Balding] (female) Authors: ElizaWy | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-hair
[Balding] (male) Authors: ElizaWy | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-hair
[Bandages] (female) Authors: Nila122 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-bandages
[Bandages] (male) Authors: Nila122 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-bandages
